level_0,index,English,Indonesian
34,34,i m sad .,saya sedih .
35,35,it s me !,ini aku !
57,57,i m okay .,aku baik baik saja .
58,58,it s odd .,itu aneh .
59,59,it s odd .,ini aneh .
83,83,i m bored .,saya bosan .
84,84,i m bored .,aku bosan .
85,85,i m drunk .,aku mabuk .
86,86,i m first .,aku yang pertama .
87,87,i m naked .,aku telanjang .
88,88,it s cold .,dingin .
108,108,what s up ?,ada apa ?
112,112,are you ok ?,kamu tidak apa apa ?
116,116,don t move !,jangan bergerak !
117,117,don t move .,jangan bergerak .
118,118,don t talk !,jangan berbicara !
124,124,i am bored .,saya bosan .
125,125,i am bored .,aku bosan .
131,131,i m hiding .,aku sedang sembunyi .
132,132,i m hungry !,aku lapar !
133,133,i m hungry .,saya lapar .
134,134,i m hungry .,aku lapar .
135,135,i m sleepy !,aku ngantuk !
141,141,it s night .,sekarang malam .
142,142,it s weird .,itu aneh .
143,143,it s weird .,ini aneh .
154,154,tom was ok .,tom dalam keadaan baik .
155,155,tom s home .,tom di rumah .
159,159,are you cut ?,apa kau melakukan khitan ?
160,160,are you new ?,kamu orang baru ?
162,162,do you bowl ?,apa kau bermain boling ?
163,163,don t smoke .,jangan merokok .
164,164,don t worry .,jangan khawatir
169,169,he is alone .,dia sendirian .
170,170,he s crying .,dia sedang menangis .
174,174,i am hungry .,saya lapar .
175,175,i am hungry .,aku lapar .
184,184,i m not shy .,saya tidak malu .
185,185,i m serious .,aku serius .
186,186,i m starved .,aku kelaparan .
187,187,i m thirsty .,aku haus .
188,188,i m too fat .,aku terlalu gemuk .
195,195,it s a fake .,itu palsu .
214,214,tom is rude .,tom adalah seorang yang kasar .
215,215,tom s flaky .,tom itu suka berpangku tangan .
219,219,what a bore !,membosankan sekali !
220,220,what a pity !,sayang sekali !
221,221,what s that ?,itu apa ?
222,222,what s this ?,ini apa ?
225,225,you re thin .,kamu kurus .
226,226,are you sure ?,apakah kamu yakin ?
227,227,are you sure ?,apakah anda yakin ?
228,228,are you sure ?,apa kau yakin ?
230,230,don t ask me .,jangan tanya aku .
231,231,don t kid me !,jangan mempermainkanku !
235,235,i am injured .,aku terluka .
241,241,i m famished .,aku sangat lapar .
242,242,i m not dumb .,aku tidak dungu .
243,243,i m not here .,aku tidak berada di sini .
244,244,i m not sure .,aku tidak yakin .
245,245,i m so sorry .,saya sangat menyesal .
246,246,i m starving !,aku kelaparan !
247,247,i m starving .,aku kelaparan .
254,254,it s my ship .,ini kapalku .
255,255,it s no joke .,ini bukan lelucon .
256,256,it s raining .,sedang turun hujan .
257,257,it s strange .,itu aneh .
258,258,it s strange .,ini aneh .
265,265,she is eight .,dia delapan tahun .
275,275,tom is tense .,tom tidak tenang .
277,277,tom saw them .,tom melihat mereka .
278,278,tom stutters .,tom berbicara dengan gagap .
279,279,tom was fine .,tom dalam keadaan baik .
280,280,tom was good .,tom dalam keadaan baik .
