Run!	Lari!
Who?	Siapa?
Wow!	Wow!
Help!	Tolong!
Jump!	Lompat!
Jump.	Loncat.
Stop!	Berhenti!
Wait!	Tunggu!
Wait.	Tunggu.
Hurry!	Cepatlah!
Hurry!	Cepat!
Hurry!	Buruan!
I see.	Begitu rupanya.
Smile.	Senyum.
Attack!	Serang!
Cheers!	Bersulang!
Freeze!	Angkat tangan!
Get up.	Bangunlah.
Got it!	Aku mengerti!
Got it?	Mengerti?
Listen.	Dengar.
No way!	Tak bisa!
No way!	Tidak mungkin!
Really?	Benarkah?
Really?	Beneran?
Thanks.	Terima kasih.
Thanks.	Makasih.
We try.	Kami mencoba.
Why me?	Kenapa harus saya?
Awesome!	Mengagumkan!
Come on!	Ayo!
Get out!	Keluar!
Goodbye!	Sampai jumpa!
Hold it!	Tahan!
I'm sad.	Saya sedih.
It's me!	Ini aku!
Me, too.	Aku juga.
Perfect!	Sempurna!
See you!	Sampai jumpa!
Show me.	Perlihatkan padaku.
Show me.	Perlihatin.
Shut up!	Diam!
So long.	Sampai jumpa.
Tom won.	Tom menang.
Wake up!	Bangun!
Wake up!	Bangunlah!
Wake up.	Bangunlah.
Welcome.	Selamat datang.
Good job!	Kerja yang bagus!
Good job!	Kerja bagus!
Grab Tom.	Tangkap Tom.
Hi, guys.	Hai, kawan-kawan.
I failed.	Aku gagal.
I get it.	Aku mengerti.
I got it.	Aku mengerti.
I refuse.	Aku menolak.
I stayed.	Aku tetap tinggal.
I'm okay.	Aku baik-baik saja.
It's odd.	Itu aneh.
It's odd.	Ini aneh.
Look out!	Awas!
Sit down.	Duduklah.
Stand up!	Berdiri!
Stand up.	Berdirilah.
Terrific!	Hebat!
Trust me.	Percaya padaku.
We tried.	Kami sudah mencoba.
What for?	Untuk apa?
Who's he?	Dia siapa?
Be seated.	Duduklah.
Bless you.	Terberkatilah dirimu.
Calm down.	Tenanglah.
Chill out.	Tenanglah.
Come here.	Kemari.
Come soon.	Datanglah segera.
Cool down.	Tenanglah.
Fantastic!	Fantastis!
Forget it.	Lupakan.
I can ski.	Saya bisa bermain ski.
I hit Tom.	Aku memukul Tom.
I mean it!	Aku serius!
I mean it.	Aku serius.
I promise.	Aku janji.
I'm bored.	Saya bosan.
I'm bored.	Aku bosan.
I'm drunk.	Aku mabuk.
I'm first.	Aku yang pertama.
I'm naked.	Aku telanjang.
It's cold.	Dingin.
Let's try!	Mari kita coba!
Let's try.	Mari kita coba.
Of course!	Tentu saja!
Pipe down!	Harap tenang!
See below.	Lihat di bawah ini.
Seriously?	Masa?
Seriously?	Serius?
Seriously?	Beneran?
Stop that!	Hentikan itu!
Stop that.	Hentikan itu.
Thank you.	Terima kasih.
Then what?	Terus kenapa?
Tom cried.	Tom menangis.
Try again.	Coba lagi.
Turn left.	Belok kiri.
Watch out!	Awas!
Well done!	Kerja yang bagus!
Well done!	Kerja bagus!
What else?	Apa lagi?
What's up?	Ada apa?
Who is he?	Dia siapa?
Who's Tom?	Tom itu siapa?
Wonderful!	Luar biasa!
Are you OK?	Kamu tidak apa-apa?
